ds,y
2015-01-04,182
2015-01-04,138
2015-01-04,134
2015-01-04,72
2015-01-04,47
2015-01-04,46
2015-01-04,51
2015-01-04,75
2015-01-04,131
2015-01-04,301
2015-01-04,528
2015-01-04,727
2015-01-04,862
2015-01-04,916
2015-01-04,1039
2015-01-04,869
2015-01-04,737
2015-01-04,594
2015-01-04,522
2015-01-04,379
2015-01-04,328
2015-01-04,221
2015-01-04,178
2015-01-04,157
2015-01-05,83
2015-01-05,67
2015-01-05,32
2015-01-05,22
2015-01-05,38
2015-01-05,81
2015-01-05,444
2015-01-05,1597
2015-01-05,3161
2015-01-05,1342
2015-01-05,568
2015-01-05,584
2015-01-05,762
2015-01-05,873
2015-01-05,672
2015-01-05,807
2015-01-05,1192
2015-01-05,2761
2015-01-05,2389
2015-01-05,1274
2015-01-05,696
2015-01-05,411
2015-01-05,324
2015-01-05,192
2015-01-06,91
2015-01-06,73
2015-01-06,33
2015-01-06,19
2015-01-06,40
2015-01-06,74
2015-01-06,530
2015-01-06,1715
2015-01-06,3534
2015-01-06,1573
2015-01-06,635
2015-01-06,550
2015-01-06,395
2015-01-06,426
2015-01-06,579
2015-01-06,718
2015-01-06,1184
2015-01-06,2662
2015-01-06,2610
2015-01-06,1402
2015-01-06,720
2015-01-06,494
2015-01-06,344
2015-01-06,212
2015-01-07,102
2015-01-07,60
2015-01-07,33
2015-01-07,26
2015-01-07,33
2015-01-07,80
2015-01-07,526
2015-01-07,1757
2015-01-07,3618
2015-01-07,1714
2015-01-07,763
2015-01-07,690
2015-01-07,913
2015-01-07,982
2015-01-07,783
2015-01-07,794
2015-01-07,1171
2015-01-07,2647
2015-01-07,2579
2015-01-07,657
2015-01-07,516
2015-01-07,414
2015-01-07,206
2015-01-08,123
2015-01-08,56
2015-01-08,51
2015-01-08,33
2015-01-08,32
2015-01-08,87
2015-01-08,511
2015-01-08,982
2015-01-08,1228
2015-01-08,573
2015-01-08,185
2015-01-08,193
2015-01-08,522
2015-01-08,672
2015-01-08,761
2015-01-08,781
2015-01-08,1212
2015-01-08,2351
2015-01-08,2110
2015-01-08,1239
2015-01-08,752
2015-01-08,457
2015-01-08,423
2015-01-08,267
2015-01-09,147
2015-01-09,60
2015-01-09,65
2015-01-09,42
2015-01-09,47
2015-01-09,85
2015-01-09,441
2015-01-09,1593
2015-01-09,3505
2015-01-09,1768
2015-01-09,799
2015-01-09,806
2015-01-09,1052
2015-01-09,1078
2015-01-09,976
2015-01-09,912
2015-01-09,1229
2015-01-09,2409
2015-01-09,1983
2015-01-09,1094
2015-01-09,686
2015-01-09,443
2015-01-09,464
2015-01-09,420
2015-01-10,392
2015-01-10,277
2015-01-10,189
2015-01-10,153
